OPERATION_TYPE,OP_COUNT,THREAD_COUNT,OP_TYPE_PERCENT,RANDOM_KEYS(Y/N),TOTAL_COST,AVG_COST_PER_THREAD,TOTAL_COST_PER_OP,AVG_COST_PER_OP,TOTAL_THROUGHPUT,AVG_THROUGHPUT
read,100000,1,100,0,2.000000,-1,0.000020,-1,50000.000000,-1
write,100000,1,100,0,1.000000,-1,0.000010,-1,100000.000000,-1
p-read,100000,2,100,0,4.000000,2.000000,0.000040,0.000020,100000.000000,50000.000000
p-rw(r),100000,1,75,0,1.000000,1.000000,0.000013,0.000013,75000.000000,75000.000000
p-rw(w),100000,1,25,0,0.000000,0.000000,0.000000,0.000000,inf,inf
p-rw(r),100000,1,50,0,1.000000,1.000000,0.000020,0.000020,50000.000000,50000.000000
p-rw(w),100000,1,50,0,1.000000,1.000000,0.000020,0.000020,50000.000000,50000.000000
p-rw(r),100000,1,25,0,0.000000,0.000000,0.000000,0.000000,inf,inf
p-rw(w),100000,1,75,0,1.000000,1.000000,0.000013,0.000013,75000.000000,75000.000000
p-read,100000,4,100,0,8.000000,2.000000,0.000080,0.000020,200000.000000,50000.000000
p-rw(r),100000,2,75,0,0.000000,0.000000,0.000000,0.000000,inf,inf
p-rw(w),100000,2,25,0,0.000000,0.000000,0.000000,0.000000,inf,inf
p-rw(r),100000,2,50,0,2.000000,1.000000,0.000080,0.000040,50000.000000,25000.000000
p-rw(w),100000,2,50,0,2.000000,1.000000,0.000080,0.000040,50000.000000,25000.000000
p-rw(r),100000,2,25,0,2.000000,1.000000,0.000160,0.000080,25000.000000,12500.000000
p-rw(w),100000,2,75,0,2.000000,1.000000,0.000053,0.000027,75000.000000,37500.000000
p-read,100000,8,100,0,16.000000,2.000000,0.000160,0.000020,400000.000000,50000.000000
p-rw(r),100000,4,75,0,4.000000,1.000000,0.000213,0.000053,75000.000000,18750.000000
p-rw(w),100000,4,25,0,1.000000,0.250000,0.000160,0.000040,inf,inf
p-rw(r),100000,4,50,0,4.000000,1.000000,0.000320,0.000080,50000.000000,12500.000000
p-rw(w),100000,4,50,0,4.000000,1.000000,0.000320,0.000080,50000.000000,12500.000000
p-rw(r),100000,4,25,0,0.000000,0.000000,0.000000,0.000000,inf,inf
p-rw(w),100000,4,75,0,4.000000,1.000000,0.000213,0.000053,75000.000000,18750.000000
p-read,100000,12,100,0,48.000000,4.000000,0.000480,0.000040,300000.000000,25000.000000
p-rw(r),100000,6,75,0,0.000000,0.000000,0.000000,0.000000,inf,inf
p-rw(w),100000,6,25,0,0.000000,0.000000,0.000000,0.000000,inf,inf
p-rw(r),100000,6,50,0,6.000000,1.000000,0.000720,0.000120,49998.000000,8333.000000
p-rw(w),100000,6,50,0,6.000000,1.000000,0.000720,0.000120,49998.000000,8333.000000
p-rw(r),100000,6,25,0,6.000000,1.000000,0.001440,0.000240,24996.000000,4166.000000
p-rw(w),100000,6,75,0,6.000000,1.000000,0.000480,0.000080,75000.000000,12500.000000
p-read,100000,16,100,0,64.000000,4.000000,0.000640,0.000040,400000.000000,25000.000000
p-rw(r),100000,8,75,0,0.000000,0.000000,0.000000,0.000000,inf,inf
p-rw(w),100000,8,25,0,0.000000,0.000000,0.000000,0.000000,inf,inf
p-rw(r),100000,8,50,0,8.000000,1.000000,0.001280,0.000160,50000.000000,6250.000000
p-rw(w),100000,8,50,0,8.000000,1.000000,0.001280,0.000160,50000.000000,6250.000000
p-rw(r),100000,8,25,0,5.000000,0.625000,0.001600,0.000200,inf,inf
p-rw(w),100000,8,75,0,8.000000,1.000000,0.000853,0.000107,75000.000000,9375.000000
p-read,100000,24,100,0,168.000000,7.000000,0.001680,0.000070,342857.142857,14285.714286
p-rw(r),100000,12,75,0,12.000000,1.000000,0.001920,0.000160,75000.000000,6250.000000
p-rw(w),100000,12,25,0,1.000000,0.083333,0.000480,0.000040,inf,inf
p-rw(r),100000,12,50,0,4.000000,0.333333,0.000960,0.000080,inf,inf
p-rw(w),100000,12,50,0,3.000000,0.250000,0.000720,0.000060,inf,inf
p-rw(r),100000,12,25,0,6.000000,0.500000,0.002880,0.000240,inf,inf
p-rw(w),100000,12,75,0,12.000000,1.000000,0.001920,0.000160,75000.000000,6250.000000
read,1000000,1,100,0,17.000000,-1,0.000017,-1,58823.529412,-1
write,1000000,1,100,0,12.000000,-1,0.000012,-1,83333.333333,-1
p-read,1000000,2,100,0,30.000000,15.000000,0.000030,0.000015,133333.333333,66666.666667
p-rw(r),1000000,1,75,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
p-rw(w),1000000,1,25,0,5.000000,5.000000,0.000020,0.000020,50000.000000,50000.000000
p-rw(r),1000000,1,50,0,10.000000,10.000000,0.000020,0.000020,50000.000000,50000.000000
p-rw(w),1000000,1,50,0,10.000000,10.000000,0.000020,0.000020,50000.000000,50000.000000
p-rw(r),1000000,1,25,0,6.000000,6.000000,0.000024,0.000024,41666.666667,41666.666667
p-rw(w),1000000,1,75,0,11.000000,11.000000,0.000015,0.000015,68181.818182,68181.818182
p-read,1000000,4,100,0,96.000000,24.000000,0.000096,0.000024,166666.666667,41666.666667
p-rw(r),1000000,2,75,0,14.000000,7.000000,0.000037,0.000019,107142.857143,53571.428571
p-rw(w),1000000,2,25,0,7.000000,3.500000,0.000056,0.000028,72916.666667,36458.333333
p-rw(r),1000000,2,50,0,20.000000,10.000000,0.000080,0.000040,50000.000000,25000.000000
p-rw(w),1000000,2,50,0,20.000000,10.000000,0.000080,0.000040,50000.000000,25000.000000
p-rw(r),1000000,2,25,0,8.000000,4.000000,0.000064,0.000032,62500.000000,31250.000000
p-rw(w),1000000,2,75,0,26.000000,13.000000,0.000069,0.000035,57692.307692,28846.153846
p-read,1000000,8,100,0,305.000000,38.125000,0.000305,0.000038,209851.551957,26231.443995
p-rw(r),1000000,4,75,0,24.000000,6.000000,0.000128,0.000032,125000.000000,31250.000000
p-rw(w),1000000,4,25,0,16.000000,4.000000,0.000256,0.000064,62500.000000,15625.000000
p-rw(r),1000000,4,50,0,28.000000,7.000000,0.000224,0.000056,71428.571429,17857.142857
p-rw(w),1000000,4,50,0,28.000000,7.000000,0.000224,0.000056,71428.571429,17857.142857
p-rw(r),1000000,4,25,0,26.000000,6.500000,0.000416,0.000104,38690.476190,9672.619048
p-rw(w),1000000,4,75,0,43.000000,10.750000,0.000229,0.000057,69886.363636,17471.590909
p-read,1000000,12,100,0,624.000000,52.000000,0.000624,0.000052,230769.230769,19230.769231
p-rw(r),1000000,6,75,0,30.000000,5.000000,0.000240,0.000040,150000.000000,25000.000000
p-rw(w),1000000,6,25,0,18.000000,3.000000,0.000432,0.000072,83332.000000,13888.666667
p-rw(r),1000000,6,50,0,36.000000,6.000000,0.000432,0.000072,83333.000000,13888.833333
p-rw(w),1000000,6,50,0,33.000000,5.500000,0.000396,0.000066,91666.300000,15277.716667
p-rw(r),1000000,6,25,0,44.000000,7.333333,0.001056,0.000176,35052.349206,5842.058201
p-rw(w),1000000,6,75,0,58.000000,9.666667,0.000464,0.000077,77777.777778,12962.962963
p-read,1000000,16,100,0,1088.000000,68.000000,0.001088,0.000068,235294.117647,14705.882353
p-rw(r),1000000,8,75,0,48.000000,6.000000,0.000512,0.000064,125000.000000,15625.000000
p-rw(w),1000000,8,25,0,30.000000,3.750000,0.000960,0.000120,67708.333333,8463.541667
p-rw(r),1000000,8,50,0,72.000000,9.000000,0.001152,0.000144,55555.555556,6944.444444
p-rw(w),1000000,8,50,0,60.000000,7.500000,0.000960,0.000120,67336.309524,8417.038690
p-rw(r),1000000,8,25,0,90.000000,11.250000,0.002880,0.000360,22253.787879,2781.723485
p-rw(w),1000000,8,75,0,87.000000,10.875000,0.000928,0.000116,69176.136364,8647.017045
p-read,1000000,24,100,0,2400.000000,100.000000,0.002400,0.000100,240000.000000,10000.000000
p-rw(r),1000000,12,75,0,72.000000,6.000000,0.001152,0.000096,125000.000000,10416.666667
p-rw(w),1000000,12,25,0,42.000000,3.500000,0.002016,0.000168,72915.500000,6076.291667
p-rw(r),1000000,12,50,0,96.000000,8.000000,0.002304,0.000192,62499.000000,5208.250000
p-rw(w),1000000,12,50,0,84.000000,7.000000,0.002016,0.000168,71675.440476,5972.953373
p-rw(r),1000000,12,25,0,144.000000,12.000000,0.006912,0.000576,20833.000000,1736.083333
p-rw(w),1000000,12,75,0,137.000000,11.416667,0.002192,0.000183,66130.050505,5510.837542
read,10000000,1,100,0,171.000000,-1,0.000017,-1,58479.532164,-1
write,10000000,1,100,0,183.000000,-1,0.000018,-1,54644.808743,-1
p-read,10000000,2,100,0,314.000000,157.000000,0.000031,0.000016,127388.535032,63694.267516
p-rw(r),10000000,1,75,0,107.000000,107.000000,0.000014,0.000014,70093.457944,70093.457944
p-rw(w),10000000,1,25,0,62.000000,62.000000,0.000025,0.000025,40322.580645,40322.580645
p-rw(r),10000000,1,50,0,131.000000,131.000000,0.000026,0.000026,38167.938931,38167.938931
p-rw(w),10000000,1,50,0,130.000000,130.000000,0.000026,0.000026,38461.538462,38461.538462
p-rw(r),10000000,1,25,0,118.000000,59.000000,0.000094,0.000047,42385.057471,21192.528736
p-rw(w),10000000,1,75,0,312.000000,156.000000,0.000083,0.000042,48078.898706,24039.449353
p-read,10000000,4,100,0,868.000000,217.000000,0.000087,0.000022,184331.797235,46082.949309
p-rw(r),10000000,2,75,0,194.000000,97.000000,0.000052,0.000026,77319.587629,38659.793814
p-rw(w),10000000,2,25,0,124.000000,62.000000,0.000099,0.000050,40333.073120,20166.536560
p-rw(r),10000000,2,50,0,224.000000,112.000000,0.000090,0.000045,44642.857143,22321.428571
p-rw(w),10000000,2,50,0,221.000000,110.500000,0.000088,0.000044,45257.208388,22628.604194
p-rw(r),10000000,2,25,0,118.000000,59.000000,0.000094,0.000047,42385.057471,21192.528736
p-rw(w),10000000,2,75,0,312.000000,156.000000,0.000083,0.000042,48078.898706,24039.449353
p-read,10000000,8,100,0,5248.000000,656.000000,0.000525,0.000066,121951.219512,15243.902439
p-rw(r),10000000,4,75,0,267.000000,66.750000,0.000142,0.000036,112401.185771,28100.296443
p-rw(w),10000000,4,25,0,157.000000,39.250000,0.000251,0.000063,63701.923077,15925.480769
p-rw(r),10000000,4,50,0,402.000000,100.500000,0.000322,0.000080,49752.475248,12438.118812
p-rw(w),10000000,4,50,0,380.000000,95.000000,0.000304,0.000076,52652.282530,13163.070633
p-rw(r),10000000,4,25,0,192.000000,48.000000,0.000307,0.000077,52083.333333,13020.833333
p-rw(w),10000000,4,75,0,443.000000,110.750000,0.000236,0.000059,67729.432265,16932.358066
p-read,10000000,12,100,0,11956.000000,996.333333,0.001196,0.000100,120442.170693,10036.847558
p-rw(r),10000000,6,75,0,342.000000,57.000000,0.000274,0.000046,131578.947368,21929.824561
p-rw(w),10000000,6,25,0,203.000000,33.833333,0.000487,0.000081,73966.305344,12327.717557
p-rw(r),10000000,6,50,0,510.000000,85.000000,0.000612,0.000102,58823.505882,9803.917647
p-rw(w),10000000,6,50,0,464.000000,77.333333,0.000557,0.000093,64668.354091,10778.059015
p-rw(r),10000000,6,25,0,421.000000,70.166667,0.001010,0.000168,36391.501603,6065.250267
p-rw(w),10000000,6,75,0,630.000000,105.000000,0.000504,0.000084,71441.784261,11906.964043
p-read,10000000,16,100,0,20225.000000,1264.062500,0.002023,0.000126,126576.567845,7911.035490
p-rw(r),10000000,8,75,0,442.000000,55.250000,0.000471,0.000059,135765.550239,16970.693780
p-rw(w),10000000,8,25,0,264.000000,33.000000,0.000845,0.000106,75792.390820,9474.048852
p-rw(r),10000000,8,50,0,656.000000,82.000000,0.001050,0.000131,60975.609756,7621.951220
p-rw(w),10000000,8,50,0,569.000000,71.125000,0.000910,0.000114,70342.098468,8792.762308
p-rw(r),10000000,8,25,0,719.000000,89.875000,0.002301,0.000288,28080.661351,3510.082669
p-rw(w),10000000,8,75,0,864.000000,108.000000,0.000922,0.000115,69472.024510,8684.003064
p-read,10000000,24,100,0,43752.000000,1823.000000,0.004375,0.000182,131651.285964,5485.470248
p-rw(r),10000000,12,75,0,664.000000,55.333333,0.001062,0.000089,135572.939991,11297.744999
p-rw(w),10000000,12,25,0,391.000000,32.583333,0.001877,0.000156,76806.546747,6400.545562
p-rw(r),10000000,12,50,0,926.000000,77.166667,0.002222,0.000185,64817.706498,5401.475541
p-rw(w),10000000,12,50,0,768.000000,64.000000,0.001843,0.000154,78160.168578,6513.347381
p-rw(r),10000000,12,25,0,1278.000000,106.500000,0.006134,0.000511,23476.738056,1956.394838
p-rw(w),10000000,12,75,0,1242.000000,103.500000,0.001987,0.000166,72516.007539,6043.000628
